¼±¼ö¸í,Æ÷Áö¼Ç,scoring,assist,shooting,shootontarget,insidepashoot,outsidepashoot,freekick,cornerkick,throwin,dribble,keypass,forwardpass,backpass,lateralpass,attackareapass,defensiveareapass,centerareapass,longpass,middistancepass,shortpass,cross,offpressure,groundduel,airduel,tackle,clearing,intercept,block,acquisition,block,miss,foul,fouled
¾çÇöÁØ,1,0.00274914089,0.00137457045,0.0240549828,0.00687285223,0.0199312715,0.00412371134,0.000343642612,0,0.000343642612,0.0192439863,0.00756013746,0.0632302405,0.0914089347,0.122680412,0.118900344,0.0316151203,0.126804124,0.0189003436,0.0597938144,0.19862543,0.0161512027,0.00756013746,0.0391752577,0.0628865979,0.023024055,0.00687285223,0.0109965636,0.010652921,0.0491408935,0.0127147766,0.016838488,0.0127147766,0.0140893471
Á¤ÀçÈñ,1,0.00328022493,0.00140581068,0.0309278351,0.0112464855,0.0206185567,0.0103092784,0.00281162137,0.00468603561,0.0121836926,0.0140581068,0.00890346767,0.0848172446,0.10918463,0.131208997,0.141518276,0.0365510778,0.147141518,0.019212746,0.0820056232,0.223992502,0.0492033739,0.00234301781,0.0253045923,0.0426429241,0.0168697282,0.00937207123,0.014995314,0.00890346767,0.0688847235,0.0173383318,0.0140581068,0.00328022493,0.00421743205
±èºÀ¼ö,0,0,0.000379794911,0.00151917964,0,0.000759589821,0.000759589821,0.021268515,0,0.0125332321,0.00379794911,0.00265856438,0.288264337,0.101405241,0.344853779,0.0846942651,0.157614888,0.492214204,0.0630459552,0.249525256,0.421952146,0.0117736422,0.00417774402,0.0292442081,0.0421572351,0.0303835929,0.0349411318,0.0543106722,0.0311431827,0.0520319028,0.0307633878,0.00227876946,0.00759589821,0.012913027
ÀÓ»óÇù,1,0.00285918513,0.000714796283,0.0164403145,0.00822015726,0.0132237312,0.00321658327,0,0,0.010007148,0.0164403145,0.00714796283,0.0600428878,0.107576841,0.0932809149,0.107934239,0.0285918513,0.124374553,0.00607576841,0.088277341,0.166547534,0.0364546104,0.00178699071,0.0228734811,0.0371694067,0.0153681201,0.0185847034,0.0135811294,0.0114367405,0.0457469621,0.0150107219,0.00964974982,0.00714796283,0.012508935
ÀÌ½Â¸ð,1,0.000543183053,0.00162954916,0.010320478,0.00434546442,0.00434546442,0.00597501358,0.00760456274,0,0.00108636611,0.00760456274,0.00543183053,0.145573058,0.116784356,0.258555133,0.0858229223,0.0689842477,0.366105378,0.0624660511,0.172189028,0.286257469,0.00651819663,0.00325909832,0.0336773493,0.071700163,0.0369364476,0.0287887018,0.0325909832,0.0200977729,0.0608365019,0.0358500815,0.00651819663,0.0141227594,0.0124932102
ÀÌ±¤Çõ,1,0.00106496273,0,0.0181043663,0.00745473908,0.01171459,0.00638977636,0.00745473908,0.00958466454,0.01171459,0.00851970181,0.00958466454,0.0564430245,0.190628328,0.126730564,0.127795527,0.0479233227,0.198083067,0.0127795527,0.0841320554,0.276890309,0.0681576145,0,0.02342918,0.0287539936,0.0170394036,0.00532481363,0.01171459,0.01171459,0.0564430245,0.0170394036,0.00425985091,0.0191693291,0.0223642173
È²¹®±â,1,0.00240577386,0,0.016840417,0.00721732157,0.00801924619,0.00882117081,0.00962309543,0.00561347233,0,0.00721732157,0.00320769848,0.129911788,0.0858059342,0.134723336,0.0986367281,0.0449077787,0.206896552,0.0312750601,0.109863673,0.209302326,0.0216519647,0.00160384924,0.0312750601,0.0408981556,0.0288692863,0.0184442662,0.023255814,0.0184442662,0.0890136327,0.0144346431,0.00641539695,0.0176423416,0.0192461909
ÀÌ½Ã¿µ,0,0,0.000888494003,0.00355397601,0.000888494003,0,0.00355397601,0.00310972901,0,0.0826299422,0.011550422,0.00977343403,0.158151932,0.101732563,0.122612172,0.100844069,0.0977343403,0.183918259,0.0479786761,0.139493558,0.195024434,0.0390937361,0.00355397601,0.0222123501,0.0319857841,0.0199911151,0.0399822301,0.0270990671,0.0204353621,0.0608618392,0.0239893381,0.00533096402,0.010217681,0.012883163
ÀåÈ¿ÁØ,0,0,0,0.00207900208,0,0.00103950104,0.00103950104,0.00103950104,0.00311850312,0.0977130977,0,0.00415800416,0.143451143,0.0977130977,0.117463617,0.08004158,0.108108108,0.17047817,0.0197505198,0.120582121,0.218295218,0.0155925156,0.00103950104,0.0187110187,0.027027027,0.0280665281,0.027027027,0.0280665281,0.0280665281,0.0363825364,0.0343035343,0.00311850312,0.0135135135,0.00623700624
±èÁøÇõ,0,0.000825423029,0.000412711515,0.00866694181,0.00123813454,0.00619067272,0.00247626909,0.00660338423,0,0,0.0028889806,0.00165084606,0.157655799,0.0400330169,0.123813454,0.02723896,0.105654148,0.188609162,0.0619067272,0.124226166,0.135369377,0.00206355757,0.000825423029,0.0309533636,0.0709863805,0.0185720182,0.0606685927,0.0363186133,0.0206355757,0.0383821709,0.0301279406,0.00619067272,0.0119686339,0.00907965332
°­Àç¿ì,1,0,0.00213219616,0.00426439232,0,0,0.00426439232,0,0,0.00213219616,0.0319829424,0.00426439232,0.0724946695,0.0682302772,0.0682302772,0.0575692964,0.0149253731,0.136460554,0.0106609808,0.0746268657,0.123667377,0.00639658849,0.00639658849,0.0426439232,0.0490405117,0.0191897655,0.00213219616,0.00852878465,0.0213219616,0.0383795309,0.0106609808,0.0170575693,0.0213219616,0.0149253731
±è¸í¼ø,0,0,0,0.00244498778,0,0,0.00244498778,0,0,0.134474328,0.0122249389,0.00733496333,0.215158924,0.207823961,0.200488998,0.210268949,0.097799511,0.315403423,0.02200489,0.188264059,0.413202934,0.0244498778,0.00244498778,0.0317848411,0.0244498778,0.0366748166,0.0171149144,0.0293398533,0.0293398533,0.0635696822,0.0366748166,0.0122249389,0.0122249389,0.0146699267
ÃÖ¿µÁØ,0,0,0.000298062593,0.0041728763,0.000596125186,0.000596125186,0.00357675112,0.00506706408,0,0.00268256334,0.00119225037,0.00387481371,0.225037258,0.118628912,0.339195231,0.118926975,0.0882265276,0.475707899,0.0646795827,0.218181818,0.4,0.00834575261,0.00298062593,0.0193740686,0.0289120715,0.0369597615,0.0199701937,0.0399403875,0.0307004471,0.0828614009,0.0324888227,0.00476900149,0.0125186289,0.0122205663
°íÀçÇö,1,0.00502706883,0.000773395205,0.0177880897,0.00966744006,0.0146945089,0.00309358082,0.000386697602,0,0.00154679041,0.0139211137,0.00618716164,0.0456303171,0.0409899459,0.0626450116,0.0634184068,0.0247486466,0.0610982212,0.00966744006,0.0351894818,0.104408353,0.0123743233,0.00154679041,0.0255220418,0.0394431555,0.0166279969,0.00618716164,0.0104408353,0.00928074246,0.0460170147,0.0146945089,0.00889404486,0.0150812065,0.0104408353
ÀÌÁØ¼®,2,0,0.00156739812,0.0156739812,0.00156739812,0.0109717868,0.00470219436,0,0,0.00156739812,0.0219435737,0.00313479624,0.0282131661,0.078369906,0.12539185,0.111285266,0.0329153605,0.0877742947,0.0156739812,0.0595611285,0.156739812,0.0297805643,0.00156739812,0.0250783699,0.0360501567,0.00313479624,0.0109717868,0.0141065831,0.012539185,0.0360501567,0.012539185,0.00940438871,0.0188087774,0.012539185
±èº¸°æ,1,0.00124921924,0.00187382886,0.0137414116,0.00562148657,0.00936914428,0.00437226733,0.0106183635,0.013116802,0.00374765771,0.0099937539,0.0162398501,0.119925047,0.0905683948,0.199250468,0.149906309,0.0412242349,0.218613367,0.0381011868,0.120549656,0.251093067,0.0374765771,0.00249843848,0.0324797002,0.0306058713,0.026233604,0.00936914428,0.0193628982,0.0124921924,0.0649594004,0.0162398501,0.0106183635,0.0187382886,0.0187382886
°­»óÀ±,1,0,0,0.0145190563,0.0054446461,0.0054446461,0.00907441016,0,0,0,0.0054446461,0.00725952813,0.0689655172,0.0798548094,0.112522686,0.0762250454,0.0145190563,0.170598911,0.0181488203,0.0744101633,0.168784029,0.00362976407,0.00907441016,0.0308529946,0.0163339383,0.0435571688,0.00362976407,0.00907441016,0.0235934664,0.0362976407,0.0235934664,0.0127041742,0.0217785844,0.00907441016
¼Û¹Î±Ô,1,0.00190718373,0.00190718373,0.0171646535,0.00826446281,0.0114431024,0.00572155118,0.00127145582,0.000635727908,0.0076287349,0.0101716465,0.0120788303,0.0756516211,0.0781945327,0.116973935,0.143674507,0.0190718373,0.108073744,0.0165289256,0.0597584234,0.19453274,0.0184361093,0.00445009536,0.0292434838,0.0298792117,0.0247933884,0.00508582327,0.00826446281,0.00826446281,0.048315321,0.0127145582,0.0114431024,0.00635727908,0.0133502861
Æä³Ä,1,0.00120627262,0.00120627262,0.0325693607,0.00844390832,0.00965018094,0.0229191797,0.0325693607,0.0277442702,0.00361881785,0.0144752714,0.0180940893,0.153196622,0.0530759952,0.240048251,0.107358263,0.0434258142,0.295536791,0.100120627,0.141133896,0.205066345,0.0518697226,0.00482509047,0.0144752714,0.0325693607,0.0337756333,0.0144752714,0.0180940893,0.0144752714,0.0735826297,0.0120627262,0.00723763571,0.0193003619,0.015681544
¹ÚÁø¼º,0,0,0,0.0096,0.0048,0.0016,0.008,0.0032,0,0.088,0.0128,0.0032,0.1792,0.1008,0.1152,0.0832,0.1104,0.2016,0.0464,0.128,0.2208,0.0304,0,0.0288,0.0384,0.0128,0.0368,0.04,0.0192,0.032,0.0352,0.0048,0.0128,0
¹ÚÁø¼·,0,0.000681663258,0,0.00340831629,0.00204498978,0.00340831629,0,0.0139740968,0,0.000340831629,0,0.00170415815,0.2467621,0.0555555556,0.329925017,0.011929107,0.250170416,0.370143149,0.129175187,0.294478528,0.208588957,0.00408997955,0.000681663258,0.0296523517,0.0640763463,0.0204498978,0.0770279482,0.0456714383,0.023858214,0.0316973415,0.0262440354,0.00136332652,0.0143149284,0.00715746421
±èÁø¼ö,0,0.000757862827,0.00113679424,0.0117468738,0.00227358848,0.00454717696,0.00719969685,0.0125047366,0.000378931413,0.083364911,0.00795755968,0.0083364911,0.198181129,0.140962486,0.145509663,0.111784767,0.0932171277,0.279651383,0.0549450549,0.168624479,0.261083744,0.0397877984,0.00189465707,0.0234937476,0.0269041304,0.0170519136,0.0303145131,0.0401667298,0.021978022,0.0485032209,0.0242516105,0.00644183403,0.00795755968,0.0102311482
±è¹®È¯,0,0.00039698293,0.000793965859,0.00476379516,0.00119094879,0.00238189758,0.00238189758,0.00317586344,0,0.0917030568,0.00516077809,0.00516077809,0.175069472,0.149265582,0.210797936,0.140134974,0.0992457324,0.295752283,0.0293767368,0.152838428,0.352917825,0.0234219929,0.00317586344,0.0198491465,0.0210400953,0.0258038904,0.0254069075,0.0329495832,0.0190551806,0.0524017467,0.0285827709,0.0039698293,0.00635172688,0.00873362445
±èÁØ¿±,0,0.000475511175,0.000951022349,0.00142653352,0.000951022349,0.00142653352,0,0.00427960057,0.000475511175,0.0684736091,0.00713266762,0.00665715644,0.166904422,0.104612458,0.175463623,0.105563481,0.0893961008,0.252020922,0.0228245364,0.122681883,0.301474085,0.0213980029,0.00285306705,0.0237755587,0.0389919163,0.0237755587,0.0375653828,0.0242510699,0.021873514,0.0337612934,0.0237755587,0.00618164527,0.00903471232,0.00618164527
±èÃ¢¼ö,0,0,0,0,0,0,0,0,0,0.0681003584,0,0,0.132616487,0.0609318996,0.136200717,0.0573476703,0.0788530466,0.193548387,0.0215053763,0.0896057348,0.218637993,0.0107526882,0.00716845878,0.0250896057,0.0286738351,0.0215053763,0.0573476703,0.0465949821,0.0358422939,0.0215053763,0.017921147,0.00358422939,0.00716845878,0.00358422939
Äí´Ï¸ðÅä,1,0.00353045013,0.000882612533,0.00970873786,0.00441306267,0.00353045013,0.00617828773,0.0211827008,0.0220653133,0.026478376,0.00617828773,0.013239188,0.260370697,0.19505737,0.217122683,0.172109444,0.0741394528,0.426301853,0.0450132392,0.203883495,0.423654016,0.0556045896,0.00617828773,0.0247131509,0.0238305384,0.0291262136,0.0167696381,0.0220653133,0.0185348632,0.0759046778,0.0105913504,0.00441306267,0.0158870256,0.00970873786
ÇÑ±³¿ø,1,0.00464252553,0,0.025998143,0.0102135562,0.0222841226,0.00371402043,0,0,0,0.0241411328,0.00464252553,0.0454967502,0.0752089136,0.111420613,0.119777159,0.0148560817,0.0974930362,0.00278551532,0.0603528319,0.168987929,0.0315691736,0.000928505107,0.0315691736,0.0222841226,0.0167130919,0.00371402043,0.0111420613,0.00557103064,0.04363974,0.0241411328,0.0157845868,0.0102135562,0.0148560817
